"","Country","Q1_case_change","Q2_case_change","Q3_case_change","Q1_death_change","Q2_death_change","Q3_death_change"
"1","Afghanistan",175,31332,7761,4,748,708
"2","Albania",243,2292,11114,15,47,325
"3","Algeria",716,13191,37623,44,868,824
"4","Andorra",376,479,1195,12,40,1
"5","Angola",7,277,4688,2,11,170
"6","Antigua and Barbuda",7,62,32,0,3,0
"7","Argentina",1054,63476,686471,27,1280,15630
"8","Armenia",532,25010,24817,3,440,516
"9","Australia",4559,3361,19176,18,86,784
"10","Austria",10180,7586,27047,128,577,94
"11","Azerbaijan",298,17226,22705,5,208,378
"12","Bahamas",14,90,4019,0,11,85
"13","Bahrain",567,26191,44106,4,83,164
"14","Bangladesh",51,145432,217996,5,1842,3404
"15","Barbados",34,63,93,0,7,0
"16","Belarus",152,61966,16513,1,391,441
"17","Belgium",12775,48652,57025,705,9042,269
"18","Belize",3,21,1968,0,2,25
"19","Benin",9,1190,1158,0,21,20
"20","Bhutan",4,73,205,0,0,0
"21","Bolivia",107,33112,102092,6,1117,6842
"22","Bosnia and Herzegovina",420,4033,23016,13,173,670
"23","Botswana",4,223,2945,1,0,15
"24","Brazil",5717,1396324,3408894,201,59393,84358
"25","Brunei",129,12,5,1,2,0
"26","Bulgaria",399,4590,15844,8,222,595
"27","Burkina Faso",261,701,1094,14,39,5
"28","Burma",15,284,13074,1,5,304
"29","Burundi",2,168,338,0,1,0
"30","Cabo Verde",6,1221,4797,1,14,45
"31","Cambodia",109,32,136,0,0,0
"32","Cameroon",193,12399,8246,6,307,105
"33","Canada",8527,97570,55010,101,8549,696
"34","Central African Republic",3,3742,1084,0,47,15
"35","Chad",7,859,334,0,74,11
"36","Chile",2844,276549,183598,12,5676,7053
"37","China",81731,2506,5760,3292,1332,98
"38","Colombia",906,96940,731833,16,3318,22664
"39","Comoros",0,303,176,0,7,0
"40","Congo (Brazzaville)",19,1068,4002,0,37,52
"41","Congo (Kinshasa)",98,6941,3620,8,162,102
"42","Costa Rica",347,3112,72301,2,14,888
"43","Cote d'Ivoire",179,9320,10225,1,67,52
"44","Croatia",867,1910,13816,6,101,173
"45","Cuba",186,2155,3256,6,80,36
"46","Cyprus",262,736,757,8,11,3
"47","Czechia",3308,8646,58809,31,318,306
"48","Denmark",3039,9929,15511,90,515,45
"49","Diamond Princess",712,0,0,10,3,0
"50","Djibouti",30,4652,734,0,54,7
"51","Dominica",12,6,12,0,0,0
"52","Dominican Republic",1109,31459,79641,51,696,1358
"53","Ecuador",2240,54192,80615,75,4452,6828
"54","Egypt",710,67601,34887,46,2907,2977
"55","El Salvador",32,6406,22639,1,173,669
"56","Equatorial Guinea",12,1989,3029,0,32,51
"57","Eritrea",15,188,172,0,0,0
"58","Estonia",745,1244,1382,4,65,-5
"59","Eswatini",9,803,4670,0,11,98
"60","Ethiopia",26,5820,69522,0,103,1095
"61","Fiji",5,13,14,0,0,2
"62","Finland",1418,5796,2778,17,311,16
"63","France",52827,149236,401968,3532,26314,2140
"64","Gabon",16,5378,3372,1,41,12
"65","Gambia",4,45,3530,1,1,110
"66","Georgia",110,818,5264,0,15,24
"67","Germany",71808,123610,97495,775,8215,505
"68","Ghana",161,17580,28885,5,107,189
"69","Greece",1314,2095,15066,49,143,199
"70","Grenada",9,14,1,0,0,0
"71","Guatemala",38,18058,73650,1,772,2473
"72","Guinea",22,5369,5261,0,33,33
"73","Guinea-Bissau",8,1646,670,0,24,15
"74","Guyana",12,233,2649,2,10,68
"75","Haiti",15,5960,2791,0,105,124
"76","Holy See",6,6,0,0,0,0
"77","Honduras",141,19417,57342,7,490,1856
"78","Hungary",492,3663,22306,16,569,180
"79","Iceland",1135,689,904,2,8,0
"80","India",1397,584084,5727103,35,17365,81278
"81","Indonesia",1528,54857,230623,136,2740,7864
"82","Iran",44605,183057,229557,2898,7919,15352
"83","Iraq",694,48415,313872,50,1893,7238
"84","Ireland",3235,22238,10682,71,1665,68
"85","Israel",5358,19886,220250,20,300,1249
"86","Italy",105792,134786,74283,12428,22339,1127
"87","Jamaica",36,666,5780,1,9,97
"88","Japan",2253,16360,64976,67,905,603
"89","Jordan",274,858,10693,5,4,52
"90","Kazakhstan",343,21965,118399,2,186,1890
"91","Kenya",59,6307,32163,1,147,563
"92","Korea, South",9785,3064,11039,162,120,133
"93","Kosovo",106,2693,12821,1,48,576
"94","Kuwait",289,45906,58987,0,354,256
"95","Kyrgyzstan",107,5399,41163,0,61,1003
"96","Laos",9,10,4,0,0,0
"97","Latvia",398,720,706,0,30,7
"98","Lebanon",470,1308,37856,12,22,333
"99","Lesotho",0,27,1568,0,0,36
"100","Liberia",3,777,563,0,36,46
"101","Libya",10,814,33701,0,24,527
"102","Liechtenstein",68,14,36,0,1,0
