"","Country","Q1_2019","Q2_2019","Q3_2019","Q4_2019","Q1_2020","Q2_2020"
"1","Argentina",-5.985322392,-1.352170763,-0.450371189,-0.334088754,-4.645285075,-19.770306932
"2","Australia",1.699904112,1.557471399,1.824480074,2.279479365,1.560467314,-6.25651874
"3","Austria",2.334226768,1.564396021,1.647826781,0.249999277,-3.015277796,-14.464515964
"4","Belgium",1.848108043,1.682255012,1.849579724,1.595947492,-2.0311976,-13.876916682
"5","Brazil",0.773836304,1.443797991,0.691143859,1.621077426,-1.428836742,-11.387498083
"6","Bulgaria",4.166037802,3.812064991,3.318155766,3.086850291,2.263516838,-8.574156059
"7","Canada",1.537688781,1.953217679,1.619975468,1.514250534,-0.909460051,-13.013587677
"8","Chile",1.866873926,1.848676044,2.801699065,-2.396670794,0.428851181,-14.019194412
"9","China (People's Republic of)",6.4,6.2,6,6,-6.8,3.2
"10","Colombia",3.055806472,3.164128853,3.449546888,3.367255861,1.033436321,-16.019190404
"11","Czech Republic",2.449348608,2.373962569,2.282940943,1.968243963,-1.911775389,-10.891799298
"12","Denmark",2.032190719,2.77432713,2.435022707,2.041705197,0.223065124,-7.739035587
"13","Estonia",5.220704121,4.81717753,5.479490946,4.122982985,-0.111647347,-6.462913731
"14","Euro area (19 countries)",1.515871594,1.267063797,1.427742402,1.000911895,-3.26010675,-14.7696413
"15","European Union – 27 countries (from 01/02/2020)",1.810161287,1.528170879,1.677380795,1.243188856,-2.655664331,-13.934632187
"16","Finland",0.812448361,1.879395599,1.440531405,0.44641983,-1.30544227,-6.48554578
"17","France",1.776581568,1.82976509,1.603779677,0.74672689,-5.763193122,-18.907999697
"18","G20",2.90539,2.92473,2.81812,2.6446,-1.75049,-9.05599
"19","G7",1.716705133,1.458186691,1.654328146,1.345220701,-1.312908634,-11.885360164
"20","Germany",1.095978615,0.11493705,0.755513226,0.396416753,-2.107617073,-11.247542065
"21","Greece",1.720354894,2.818500195,2.162884352,0.78292557,-0.526777302,-15.225491743
"22","Hungary",5.110692048,4.747501951,4.444125739,4.023269553,2.004612145,-13.520970665
"23","Iceland",1.862685903,1.62910606,1.31610605,2.930480922,-1.312603647,-10.727290193
"24","India",5.4166,4.98024,4.39894,4.07719,3.30178,-23.47289
"25","Indonesia",5.073384025,5.076784715,5.014937836,4.93670897,2.971997909,-5.367377993
"26","Ireland",3.658376131,5.219913169,6.830288801,7.740694529,4.446018266,-3.726218791
"27","Israel",3.158002407,2.988580179,3.274689458,3.692129289,0.508121131,-8.151447508
"28","Italy",0.354635835,0.405901434,0.491825014,0.10527812,-5.558467632,-17.934324273
"29","Japan",0.83023793,0.869366402,1.745108588,-0.665013963,-1.925647443,-10.289896686
"30","Korea",1.725215504,2.12823508,1.923495838,2.374366485,1.406705515,-2.777486753
"31","Latvia",3.572306294,2.444780845,1.538465828,0.750228438,-1.012799396,-8.604813493
"32","Lithuania",4.884058468,4.43013214,4.142143101,3.852987715,2.178125167,-4.578170574
"33","Luxembourg",0.216492591,3.071391694,2.964202202,2.96629971,1.53208535,-7.75921543
"34","Mexico",0.078827374,-0.020802016,-0.459573257,-0.788182288,-2.126987149,-18.679063267
"35","NAFTA",1.984627367,1.757890015,1.782072505,1.958328667,-0.020361808,-10.302162777
"36","Netherlands",1.749510416,1.500378237,1.611571787,1.659041488,-0.365230927,-9.200904545
"37","New Zealand",3.012248221,2.09087991,2.319036866,1.787160309,-0.122880936,-12.399311546
"38","Norway",0.852434237,0.800774435,0.06126307,1.717922665,0.250985094,-4.576975647
"39","OECD - Europe",1.406751847,1.280103329,1.533545626,1.702530491,-1.882205469,-14.235143072
"40","OECD - Total",1.648661187,1.516061969,1.720839686,1.643562969,-0.859251271,-11.676450609
"41","Poland",5.271546065,4.656143289,4.42054868,3.888351171,1.885189836,-7.96494226
"42","Portugal",2.454530684,2.165877251,2.037741669,2.28809548,-2.453839463,-16.466273702
"43","Romania",5.355758913,3.578145262,3.396353734,4.411404768,2.590908126,-10.253681911
"44","Russia",0.633664745,2.704917944,1.429821397,0.283638204,-0.130395695,-5.602155968
"45","Saudi Arabia",1.892169582,0.936793992,-0.556606686,-0.902464501,-1.037842618,-6.096453046
"46","Slovak Republic",3.144116334,2.3778757,1.81383431,1.951082674,-3.821988623,-12.114778151
"47","Slovenia",4.569775095,3.171221445,2.744186689,2.092196677,-3.549662133,-13.107421146
"48","South Africa",0.048510243,0.998119164,0.136603775,-0.565557139,-0.217266548,-17.212736799
"49","Spain",2.225727787,2.080913368,1.820349085,1.679243494,-4.159113729,-21.507740437
"50","Sweden",1.724529526,0.992260066,1.738826076,0.720868335,0.679792035,-7.736885642
"51","Switzerland",1.162205659,0.559524748,1.255889974,1.478808324,-0.671797303,-8.248530876
"52","Turkey",-2.431293769,-0.91636595,1.090248314,6.297175046,4.416187151,-8.983859755
"53","United Kingdom",1.707185062,1.301344217,1.02879816,1.011292738,-2.076542717,-21.462009163
"54","United States",2.265801706,1.963163295,2.076480527,2.338884878,0.319260645,-9.032775466
