"","Country","Q1_2019","Q2_2019","Q3_2019","Q4_2019","Q1_2020","Q2_2020","Q3_2020"
"1","Austria",2.334226768,1.564396021,1.647826781,0.249999277,-3.015277796,-14.464515964,-5.296425476
"2","Belgium",1.848108043,1.682255012,1.849579724,1.595947492,-2.0311976,-13.876916682,-5.142582304
"3","Bulgaria",4.166037802,3.812064991,3.318155766,3.086850291,2.263516838,-8.574156059,-5.181405758
"4","Canada",1.537688781,1.953217679,1.619975468,1.514250534,-0.909460051,-13.013587677,-4.581312689
"5","Chile",1.866873926,1.848676044,2.801699065,-2.396670794,0.428851181,-14.019194412,-10.25430048
"6","China (People's Republic of)",6.4,6.2,6,6,-6.8,3.2,4.9
"7","Colombia",3.055806472,3.164128853,3.449546888,3.367255861,1.033436321,-16.019190404,-9.466497922
"8","Czech Republic",2.449348608,2.373962569,2.282940943,1.968243963,-1.911775389,-10.891799298,-5.803014192
"9","Denmark",2.032190719,2.77432713,2.435022707,2.041705197,0.223065124,-7.739035587,-3.412500807
"10","Euro area (19 countries)",1.515871594,1.267063797,1.427742402,1.000911895,-3.26010675,-14.7696413,-4.38365748
"11","European Union – 27 countries (from 01/02/2020)",1.810161287,1.528170879,1.677380795,1.243188856,-2.655664331,-13.934632187,-4.300973989
"12","Finland",0.812448361,1.879395599,1.440531405,0.44641983,-1.30544227,-6.48554578,-3.911502025
"13","France",1.776581568,1.82976509,1.603779677,0.74672689,-5.763193122,-18.907999697,-4.284649264
"14","G7",1.716705133,1.458186691,1.654328146,1.345220701,-1.312908634,-11.885360164,-4.239736275
"15","Germany",1.095978615,0.11493705,0.755513226,0.396416753,-2.107617073,-11.247542065,-4.232857347
"16","Hungary",5.110692048,4.747501951,4.444125739,4.023269553,2.004612145,-13.520970665,-4.663550901
"17","Indonesia",5.073384025,5.076784715,5.014937836,4.93670897,2.971997909,-5.367377993,-3.595372268
"18","Israel",3.158002407,2.988580179,3.274689458,3.692129289,0.508121131,-8.151447508,-1.447117612
"19","Italy",0.354635835,0.405901434,0.491825014,0.10527812,-5.558467632,-17.934324273,-4.717753714
"20","Japan",0.83023793,0.869366402,1.745108588,-0.665013963,-1.925647443,-10.289896686,-5.889841868
"21","Korea",1.725215504,2.12823508,1.923495838,2.374366485,1.406705515,-2.777486753,-1.270959717
"22","Latvia",3.572306294,2.444780845,1.538465828,0.750228438,-1.012799396,-8.604813493,-3.088074096
"23","Lithuania",4.884058468,4.43013214,4.142143101,3.852987715,2.178125167,-4.578170574,-1.69499856
"24","Mexico",0.078827374,-0.020802016,-0.459573257,-0.788182288,-2.126987149,-18.679063267,-8.67601168
"25","NAFTA",1.984627367,1.757890015,1.782072505,1.958328667,-0.020361808,-10.302162777,-3.614323565
"26","Netherlands",1.749510416,1.500378237,1.611571787,1.659041488,-0.365230927,-9.200904545,-2.547165754
"27","Norway",0.852434237,0.800774435,0.06126307,1.717922665,0.250985094,-4.576975647,-0.132059514
"28","OECD - Total",1.648661187,1.516061969,1.720839686,1.643562969,-0.859251271,-11.676450609,-4.1
"29","Poland",5.271546065,4.656143289,4.42054868,3.888351171,1.885189836,-7.96494226,-2.006714803
"30","Portugal",2.454530684,2.165877251,2.037741669,2.28809548,-2.453839463,-16.466273702,-5.813240666
"31","Romania",5.355758913,3.578145262,3.396353734,4.411404768,2.590908126,-10.253681911,-5.99853626
"32","Slovak Republic",3.144116334,2.3778757,1.81383431,1.951082674,-3.821988623,-12.114778151,-2.244499234
"33","Spain",2.225727787,2.080913368,1.820349085,1.679243494,-4.159113729,-21.507740437,-8.723952236
"34","Sweden",1.724529526,0.992260066,1.738826076,0.720868335,0.679792035,-7.736885642,-4.05733309
"35","United Kingdom",1.707185062,1.301344217,1.02879816,1.011292738,-2.076542717,-21.462009163,-9.577713345
"36","United States",2.265801706,1.963163295,2.076480527,2.338884878,0.319260645,-9.032775466,-2.913841079
