"","Country","YR2018"
"435","Afghanistan",37172386
"436","Albania",2866376
"437","Algeria",42228429
"438","American Samoa",55465
"439","Andorra",77006
"440","Angola",30809762
"441","Antigua and Barbuda",96286
"442","Argentina",44494502
"443","Armenia",2951776
"444","Aruba",105845
"445","Australia",24982688
"446","Austria",8840521
"447","Azerbaijan",9939771
"448","Bahamas, The",385640
"449","Bahrain",1569439
"450","Bangladesh",161356039
"451","Barbados",286641
"452","Belarus",9483499
"453","Belgium",11427054
"454","Belize",383071
"455","Benin",11485048
"456","Bermuda",63920
"457","Bhutan",754394
"458","Bolivia",11353142
"459","Bosnia and Herzegovina",3323929
"460","Botswana",2254126
"461","Brazil",209469333
"462","British Virgin Islands",29802
"463","Brunei Darussalam",428962
"464","Bulgaria",7025037
"465","Burkina Faso",19751535
"466","Burundi",11175378
"467","Cabo Verde",543767
"468","Cambodia",16249798
"469","Cameroon",25216237
"470","Canada",37057765
"471","Cayman Islands",64174
"472","Central African Republic",4666377
"473","Chad",15477751
"474","Channel Islands",170499
"475","Chile",18729160
"476","China",1392730000
"477","Colombia",49648685
"478","Comoros",832322
"479","Congo, Dem. Rep.",84068091
"480","Congo, Rep.",5244363
"481","Costa Rica",4999441
"482","Cote d'Ivoire",25069229
"483","Croatia",4087843
"484","Cuba",11338138
"485","Curacao",159800
"486","Cyprus",1189265
"487","Czech Republic",10629928
"488","Denmark",5793636
"489","Djibouti",958920
"490","Dominica",71625
"491","Dominican Republic",10627165
"492","Ecuador",17084357
"493","Egypt, Arab Rep.",98423595
"494","El Salvador",6420744
"495","Equatorial Guinea",1308974
"496","Eritrea",NA
"497","Estonia",1321977
"498","Eswatini",1136191
"499","Ethiopia",109224559
"500","Faroe Islands",48497
"501","Fiji",883483
"502","Finland",5515525
"503","France",66965912
"504","French Polynesia",277679
"505","Gabon",2119275
"506","Gambia, The",2280102
"507","Georgia",3726549
"508","Germany",82905782
"509","Ghana",29767108
"510","Gibraltar",33718
"511","Greece",10732882
"512","Greenland",56023
"513","Grenada",111454
"514","Guam",165768
"515","Guatemala",16346950
"516","Guinea",12414318
"517","Guinea-Bissau",1874309
"518","Guyana",779004
"519","Haiti",11123176
"520","Honduras",9587522
"521","Hong Kong SAR, China",7451000
"522","Hungary",9775564
"523","Iceland",352721
"524","India",1352617328
"525","Indonesia",267663435
"526","Iran, Islamic Rep.",81800269
"527","Iraq",38433600
"528","Ireland",4867316
"529","Isle of Man",84077
"530","Israel",8882800
"531","Italy",60421760
"532","Jamaica",2934855
"533","Japan",126529100
"534","Jordan",9956011
"535","Kazakhstan",18276498.5
"536","Kenya",51393010
"537","Kiribati",115847
"538","Korea, Dem. People’s Rep.",25549819
"539","Korea, Rep.",51606633
"540","Kosovo",1797085
"541","Kuwait",4137312
"542","Kyrgyz Republic",6322800
