"","Country","YR2018"
"218","Afghanistan",25.495
"219","Albania",60.319
"220","Algeria",72.629
"221","American Samoa",87.153
"222","Andorra",88.062
"223","Angola",65.514
"224","Antigua and Barbuda",24.599
"225","Argentina",91.87
"226","Armenia",63.149
"227","Aruba",43.411
"228","Australia",86.012
"229","Austria",58.297
"230","Azerbaijan",55.68
"231","Bahamas, The",83.025
"232","Bahrain",89.287
"233","Bangladesh",36.632
"234","Barbados",31.147
"235","Belarus",78.595
"236","Belgium",98.001
"237","Belize",45.724
"238","Benin",47.312
"239","Bermuda",100
"240","Bhutan",40.895
"241","Bolivia",69.425
"242","Bosnia and Herzegovina",48.245
"243","Botswana",69.446
"244","Brazil",86.569
"245","British Virgin Islands",47.723
"246","Brunei Darussalam",77.629
"247","Bulgaria",75.008
"248","Burkina Faso",29.358
"249","Burundi",13.032
"250","Cabo Verde",65.732
"251","Cambodia",23.388
"252","Cameroon",56.374
"253","Canada",81.411
"254","Cayman Islands",100
"255","Central African Republic",41.364
"256","Chad",23.059
"257","Channel Islands",30.914
"258","Chile",87.564
"259","China",59.152
"260","Colombia",80.778
"261","Comoros",28.965
"262","Congo, Dem. Rep.",44.46
"263","Congo, Rep.",66.916
"264","Costa Rica",79.34
"265","Cote d'Ivoire",50.779
"266","Croatia",56.947
"267","Cuba",77.037
"268","Curacao",89.145
"269","Cyprus",66.81
"270","Czech Republic",73.792
"271","Denmark",87.874
"272","Djibouti",77.777
"273","Dominica",70.483
"274","Dominican Republic",81.074
"275","Ecuador",63.821
"276","Egypt, Arab Rep.",42.704
"277","El Salvador",72.023
"278","Equatorial Guinea",72.143
"279","Eritrea",NA
"280","Estonia",68.88
"281","Eswatini",23.799
"282","Ethiopia",20.763
"283","Faroe Islands",42.064
"284","Fiji",56.248
"285","Finland",85.382
"286","France",80.444
"287","French Polynesia",61.834
"288","Gabon",89.37
"289","Gambia, The",61.27
"290","Georgia",58.632
"291","Germany",77.312
"292","Ghana",56.06
"293","Gibraltar",100
"294","Greece",79.058
"295","Greenland",86.816
"296","Grenada",36.272
"297","Guam",94.78
"298","Guatemala",51.054
"299","Guinea",36.14
"300","Guinea-Bissau",43.36
"301","Guyana",26.606
"302","Haiti",55.278
"303","Honduras",57.096
"304","Hong Kong SAR, China",100
"305","Hungary",71.351
"306","Iceland",93.813
"307","India",34.03
"308","Indonesia",55.325
"309","Iran, Islamic Rep.",74.898
"310","Iraq",70.473
"311","Ireland",63.17
"312","Isle of Man",52.588
"313","Israel",92.418
"314","Italy",70.438
"315","Jamaica",55.674
"316","Japan",91.616
"317","Jordan",90.979
"318","Kazakhstan",57.428
"319","Kenya",27.03
"320","Kiribati",54.057
"321","Korea, Dem. People’s Rep.",61.899
"322","Korea, Rep.",81.459
"323","Kosovo",NA
"324","Kuwait",100
"325","Kyrgyz Republic",36.351
"326","Lao PDR",35.004
"327","Latvia",68.142
"328","Lebanon",88.593
"329","Lesotho",28.153
"330","Liberia",51.151
"331","Libya",80.102
"332","Liechtenstein",14.338
"333","Lithuania",67.679
"334","Luxembourg",90.981
"335","Macao SAR, China",100
"336","Madagascar",37.191
"337","Malawi",16.937
"338","Malaysia",76.036
"339","Maldives",39.808
"340","Mali",42.356
"341","Malta",94.612
"342","Marshall Islands",77.031
"343","Mauritania",53.672
"344","Mauritius",40.793
"345","Mexico",80.156
"346","Micronesia, Fed. Sts.",22.703
"347","Moldova",42.629
"348","Monaco",100
"349","Mongolia",68.445
"350","Montenegro",66.813
"351","Morocco",62.453
"352","Mozambique",35.988
"353","Myanmar",30.579
"354","Namibia",50.032
"355","Nauru",100
"356","Nepal",19.74
"357","Netherlands",91.49
"358","New Caledonia",70.683
"359","New Zealand",86.538
"360","Nicaragua",58.522
"361","Niger",16.425
"362","Nigeria",50.344
"363","North Macedonia",57.963
"364","Northern Mariana Islands",91.618
"365","Norway",82.248
"366","Oman",84.539
"367","Pakistan",36.666
"368","Palau",79.93
"369","Panama",67.709
"370","Papua New Guinea",13.169
"371","Paraguay",61.585
"372","Peru",77.907
"373","Philippines",46.907
"374","Poland",60.058
"375","Portugal",65.211
"376","Puerto Rico",93.578
"377","Qatar",99.135
"378","Romania",53.998
"379","Russian Federation",74.433
"380","Rwanda",17.211
"381","Samoa",18.243
"382","San Marino",97.226
"383","Sao Tome and Principe",72.803
"384","Saudi Arabia",83.844
"385","Senegal",47.192
"386","Serbia",56.092
"387","Seychelles",56.691
"388","Sierra Leone",42.055
"389","Singapore",100
"390","Sint Maarten (Dutch part)",100
"391","Slovak Republic",53.726
"392","Slovenia",54.541
"393","Solomon Islands",23.749
"394","Somalia",44.971
"395","South Africa",66.355
"396","South Sudan",19.615
"397","Spain",80.321
"398","Sri Lanka",18.476
"399","St. Kitts and Nevis",30.776
"400","St. Lucia",18.678
"401","St. Martin (French part)",NA
"402","St. Vincent and the Grenadines",52.198
"403","Sudan",34.642
"404","Suriname",66.06
"405","Sweden",87.431
"406","Switzerland",73.797
"407","Syrian Arab Republic",54.162
"408","Tajikistan",27.134
"409","Tanzania",33.776
"410","Thailand",49.949
"411","Timor-Leste",30.578
"412","Togo",41.702
"413","Tonga",23.131
"414","Trinidad and Tobago",53.184
"415","Tunisia",68.945
"416","Turkey",75.143
"417","Turkmenistan",51.593
"418","Turks and Caicos Islands",93.098
"419","Tuvalu",62.387
"420","Uganda",23.774
"421","Ukraine",69.352
"422","United Arab Emirates",86.522
"423","United Kingdom",83.398
"424","United States",82.256
"425","Uruguay",95.334
"426","Uzbekistan",50.478
"427","Vanuatu",25.274
"428","Venezuela, RB",88.208
"429","Vietnam",35.919
"430","Virgin Islands (U.S.)",95.721
"431","West Bank and Gaza",76.164
"432","Yemen, Rep.",36.642
"433","Zambia",43.521
"434","Zimbabwe",32.209
