"","Belgium","Chile","China (People's Republic of)","Greece","India","Ireland","Israel","Spain","Turkey","United Kingdom","United States"
"2020-01-31",0,0,0.091105752217382,0,1.05615342861512e-05,0,0,0,0,0.000429901906186771,0.000262373936719071
"2020-02-01",0,0,0.107548278765959,0,1.05615342861512e-05,0,0,0.00030526495535906,0,0.000429901906186771,0.000262373936719071
"2020-02-02",0,0,0.149295679297905,0,2.11230685723024e-05,0,0,0.00030526495535906,0,0.000429901906186771,0.000131186968359536
"2020-02-03",0,0,0.172723458859321,0,3.16846028584537e-05,0,0,0.00030526495535906,0,0.00171960762474709,0.000262373936719071
"2020-02-04",0.00125016599078943,0,0.186663192845296,0,3.16846028584537e-05,0,0,0.00030526495535906,0,0.00171960762474709,0.000262373936719071
"2020-02-05",0.00125016599078943,0,0.21902512126748,0,3.16846028584537e-05,0,0,0.00030526495535906,0,0.00193455857784047,0.000218644947265893
"2020-02-06",0.00125016599078943,0,0.230236401066354,0,2.11230685723025e-05,0,0,0.00030526495535906,0,0.00193455857784047,0.000262373936719073
"2020-02-07",0.00125016599078943,0,0.249335580376055,0,2.11230685723025e-05,0,0,0.00030526495535906,0,0.0015046566716537,0.000174915957812716
"2020-02-08",0.00125016599078943,0,0.255643848515403,0,2.11230685723025e-05,0,0,0,0,0.00236446048402724,0.000174915957812716
"2020-02-09",0.00125016599078943,0,0.237960183032091,0,1.05615342861513e-05,0,0,0.00030526495535906,0,0.00257941143712063,0.000174915957812716
"2020-02-10",0.00125016599078943,0,0.232205811607419,0,1.93607530800983e-21,0,0,0.00030526495535906,0,0.00128970571856031,4.37289894531801e-05
"2020-02-11",0,0,0.212111669680616,0,1.93607530800983e-21,0,0,0.00030526495535906,0,0.0015046566716537,8.74579789063585e-05
"2020-02-12",0,0,0.177646985211983,0,1.93607530800983e-21,0,0,0.00030526495535906,0,0.0015046566716537,8.74579789063585e-05
"2020-02-13",0,0,0.300622313216283,0,1.93607530800983e-21,0,0,0.00030526495535906,0,0.00171960762474709,8.74579789063571e-05
"2020-02-14",0,0,0.330778912126338,0,1.93607530800983e-21,0,0,0.00030526495535906,0,0.00193455857784047,8.74579789063571e-05
"2020-02-15",0,0,0.324121894203676,0,1.93607530800983e-21,0,0,0.00030526495535906,0,0.00107475476546693,8.74579789063571e-05
"2020-02-16",0,0,0.314736422093914,0,1.93607530800983e-21,0,0,0,0,0.000859803812373543,8.74579789063571e-05
"2020-02-17",0,0,0.308540984766816,0,1.93607530800983e-21,0,0,0,0,0.00107475476546693,8.74579789063571e-05
"2020-02-18",0,0,0.305925361391963,0,1.93607530800983e-21,0,0,0,0,0.000859803812373543,4.37289894531786e-05
"2020-02-19",0,0,0.306284368521844,0,1.93607530800983e-21,0,0,0,0,0.000859803812373543,4.37289894531786e-05
"2020-02-20",0,0,0.15572703559607,0,1.93607530800983e-21,0,0,0,0,0.00107475476546693,0
"2020-02-21",0,0,0.0942855296534757,0,1.93607530800983e-21,0,0.00160824450462853,0,0,0.00107475476546693,8.74579789063572e-05
"2020-02-22",0,0,0.0880900923263771,0,1.93607530800983e-21,0,0.00160824450462853,0,0,0.00107475476546693,8.74579789063572e-05
"2020-02-23",0,0.00152550507184671,0.0667650688114099,0,1.93607530800983e-21,0,0.00160824450462853,0,0,0.00214950953093386,8.74579789063572e-05
"2020-02-24",0,0.00152550507184671,0.0493070649525942,0,1.93607530800983e-21,0,0.00160824450462853,0,0,0.00236446048402724,8.74579789063572e-05
"2020-02-25",0,0.00152550507184671,0.0363417788905871,0,1.93607530800983e-21,0,0.00160824450462853,0.00122105982143624,0,0.00322426429640079,8.74579789063572e-05
"2020-02-26",0,0.00152550507184671,0.0363828082768585,0.0013310231385861,1.93607530800983e-21,0,0.00321648900925706,0.00335791450894967,0,0.00365416620258756,8.74579789063572e-05
"2020-02-27",0,0.00152550507184671,0.0361366319592243,0.00399306941575831,1.93607530800983e-21,0,0.00482473351388559,0.00396844441966778,0,0.00472892096805449,0.000131186968359536
"2020-02-28",0,0.00152550507184671,0.0346493167068584,0.00532409255434441,1.93607530800983e-21,0,0.00804122252314264,0.00915794866077181,0,0.00709338145208173,4.37289894531786e-05
"2020-02-29",0,0.00152550507184671,0.0241560511677471,0.00532409255434441,1.93607530800983e-21,0.00293502913838229,0.00804122252314264,0.0131263930804396,0,0.00816813621754866,0.000393560905078607
"2020-03-01",0.00125016599078943,0.00533926775146349,0.0298488785130128,0.00931716197010271,1.93607530800983e-21,0.00293502913838229,0.00964946702777117,0.0250317263394429,0,0.0141867629041635,0.000699663831250857
"2020-03-02",0.00875116193552599,0.00533926775146349,0.0296950183144928,0.00931716197010271,2.11230685723026e-05,0.00293502913838229,0.0176906895509138,0.0360212647323692,0,0.0223548991217121,0.00170543058867397
"2020-03-03",0.0150019918894731,0.00610202028738684,0.0257151678460899,0.00931716197010271,2.11230685723026e-05,0.00587005827676456,0.0225154230647993,0.0485371279020906,0,0.0333173977294747,0.00253628138828436
"2020-03-04",0.0275036517973674,0.00610202028738684,0.0227713093810613,0.0106481851086888,0.000264038357153781,0.0176101748302937,0.0209071785601708,0.0638003756700436,0,0.0449247491965176,0.00397933804023926
"2020-03-05",0.0612581335486819,0.00839027789515691,0.0198684803023056,0.0372686478804108,0.000285161425726083,0.0176101748302937,0.0289484010833136,0.0744846491076107,0,0.0539526892264399,0.00730274123868083
"2020-03-06",0.135017927005258,0.00839027789515691,0.0180734446528956,0.0545719486820302,0.000295722960012235,0.052830524490881,0.0498555796434844,0.112337503572134,0,0.0683544030836967,0.00962037767969931
"2020-03-07",0.210027886452623,0.00839027789515691,0.0145038880472172,0.0559029718206163,0.000327407562870689,0.0498954953524987,0.0659380246897697,0.138895554688372,0,0.079101950738366,0.0165295580133015
"2020-03-08",0.247532866176307,0.00839027789515694,0.00913929579212848,0.0878475271466827,0.000380215234301445,0.052830524490881,0.0788039807267979,0.179801058706486,0,0.083615920753327,0.021296017863698
"2020-03-09",0.288788343872357,0.00839027789515694,0.00742631891526565,0.0878475271466827,0.000401338302873748,0.0587005827676456,0.0771957362221694,0.290917502457184,0,0.106615672734319,0.0235699253152633
"2020-03-10",0.317542161660515,0.0114412880388503,0.00642109895159702,0.10914389736406,0.000538638248593714,0.093920932428233,0.117401848837883,0.467055381699362,0,0.15046566716537,0.0309601245328505
"2020-03-11",0.363798303319723,0.0190688133980839,0.00548768041390429,0.119792082472749,0.000359092165729143,0.108596078120144,0.0723710027082839,0.627319483262869,0.000173539385114001,0.226773255513521,0.0454781490313057
"2020-03-12",0.330043821568409,0.0167805557903138,0.00405165189437711,0.090509573423855,0.000454145974304504,0.108596078120144,0.0964946702777116,0.616024679914584,0.000173539385114001,0.321351674874611,0.0613080432133564
"2020-03-13",0.562574695855242,0.0320356065087809,0.00261562337485146,0.192998355094985,0.000538638248593714,0.211322097963525,0.12061833784714,1.47504026429498,0.000867696925570006,0.407547007065059,0.0866708570962001
"2020-03-14",0.650086315210503,0.0572064401942517,0.00212327073958558,0.242246211222671,0.000718184331458284,0.325788234360433,0.146350249921196,1.79831585202023,0.000867696925570006,0.473966851570916,0.112602147841935
"2020-03-15",0.857613869681547,0.0617829554097919,0.00184632238224853,0.343403969755215,0.000781553537175193,0.322853205222051,0.194597585060052,2.17501280693331,0.00104123631068401,0.557582772324243,0.11776216859741
"2020-03-16",1.02388594645654,0.123565910819584,0.00177452095627137,0.343403969755215,0.000802676605747494,0.434384312480578,0.307174700384048,2.7073948890795,0.00312370893205201,0.658179818371947,0.178632921916235
"2020-03-17",1.22016200701048,0.154838764792442,0.00175400626313576,0.396644895298658,0.000908291948609002,0.554720507154251,0.332906612458105,3.06882859622464,0.00815635110035806,0.768019755402667,0.250567109566713
"2020-03-18",1.46519454120521,0.175433083262373,0.0018565797288171,0.424596381208967,0.000992784222898223,0.730822255457188,0.500164040939473,3.55114722569195,0.0168333203560581,0.895485670587046,0.350793953393398
"2020-03-19",1.85149583235915,0.175433083262373,0.00229764563124281,0.424596381208967,0.0012779456486243,1.50860497712849,0.490514573911701,4.78838608976222,0.0331460225567743,1.01951237052193,0.528115005626039
"2020-03-20",2.12278185236045,0.309677529584883,0.00312849070325421,0.405962057268761,0.0017109685543565,1.74047227906069,0.82985416438832,4.63331149243981,0.0614329423303564,1.18674421202859,0.778857031150565
"2020-03-21",2.65785289641833,0.384427278105372,0.00336440967431852,0.401968987853003,0.00240802981724249,1.92537911477877,1.13381237576311,5.79484464758104,0.115403691100811,1.36966747311105,1.00782201992741
"2020-03-22",3.14416746683541,0.446972986051087,0.00443117371739562,0.389989779605729,0.0029889142029808,2.28051764052303,1.45224478767956,6.40140611387949,0.213453443690222,1.57301107473739,1.38371641326693
"2020-03-23",3.35669568526961,0.472143819736558,0.00476966615414127,0.484492422445341,0.00401338302873747,2.80588785629347,1.60502801561927,7.69084528531617,0.262218010907255,1.94573602740133,1.81068626628776
"2020-03-24",3.7830022881288,0.571301649406593,0.00546716572076843,0.473844237336653,0.0041612445087436,3.24614222705081,1.69830619688773,8.58924004893787,0.316709377833052,2.29223696378787,2.19458306469723
"2020-03-25",4.31432283421431,0.710885363480567,0.00573385673153703,0.536402324850199,0.00529132867736177,3.73335706402226,3.37248872620602,10.8689587355593,0.405214464241192,2.66023299548375,2.60642268736726
