Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,54.1971142358239,55.5959930153479,56.937760009803,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,104.967189781022,104.870693430657,104.612262773723,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,17.0259574932612,17.3777146120063,17.7300750711665,..,..
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,278.705,278.1,277.325,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,164.46170212766,163.831914893617,163.842553191489,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,23.1350637683484,23.9165380604797,24.7130520574316,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,214.834090909091,216.877272727273,218.831818181818,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,15.9281350828921,16.0941907925267,16.2585100979651,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,103.131225851774,103.435511064278,103.680224798033,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,582.622222222222,585.366666666667,588.027777777778,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,3.14493553058884,3.19836141871706,3.24787091037205,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,105.869493435483,106.607445296677,107.127966860564,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,118.033288980283,119.197205757832,120.23431716463,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,37.7553446553447,38.137962037962,38.5254745254745,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,1832.63617490023,1920.40352364259,2017.27369979138,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1213.57332718752,1226.63127448721,1239.57931166936,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,664.641860465116,665.658139534884,666.606976744186,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,46.8083514016087,46.792242075569,46.7195037884204,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,374.221334214003,375.66571994716,377.379590488771,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,16.1508110477861,16.4738711091626,16.7939938623411,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,96.4177633912735,99.1061014544165,101.853919829727,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1195.44442333214,1182.83331244375,1183.70368279874,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,19.3138899659506,19.5461414400175,19.7775277714448,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,10.1835253392412,10.3321831440967,10.4801458506416,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,66.13802734375,65.45951171875,64.92048828125,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,3.81123992024421,3.89096748010516,3.97742487604327,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,24.6661407920901,24.8660384966033,25.0617162430876,..,..
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,195.7,197.18,198.68,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,79.6584440227704,80.5451612903226,81.3969639468691,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,65.6579034635225,65.1800571112749,64.7110998526161,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,68.151966374269,70.1508918128655,72.1912828947368,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,408.411137071651,421.61308411215,435.178271028037,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,131.798014888337,133.373945409429,134.929776674938,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,89.3173181509177,90.6946181735781,92.0564128710628,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,50.615681919147,51.9685325040723,53.3439889149796,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,3.97090749336615,4.01861558408139,4.07518823864492,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,260.704166666667,264.091666666667,267.391666666667,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,7.28384057273107,7.37748884394363,7.49041221227006,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,11.5642201397713,11.9256456480305,12.2917336404066,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,843.045487029935,851.843467166921,861.106093786457,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,24.4899577081939,24.8414839222839,25.1894460666519,..,..
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,146.850677605209,147.674050750889,148.348833270666,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,43.4172077512393,44.0748679585399,44.7487021180712,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,427.507777488981,437.341200057394,447.244477540227,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,34.7540314505635,35.9051472177499,37.0825923557045,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,14.5856486090776,14.9654524158126,15.3568462664715,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,95.9527027027027,96.9438699569134,97.9130630630631,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,74.9141949685535,76.8473867924528,78.8340534591195,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,74.5952287348106,73.7049857040743,73.0493745532523,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,108.970476831379,109.010373005191,108.999596231494,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,359.603603603604,360.754504504505,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,126.643614718615,127.670995670996,128.708333333333,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Czech Republic,CZE,136.834136234136,137.198109298109,137.657705257705,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,136.41366992141,137.294117647059,137.976565849012,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,40.0824849007765,40.7289473684211,41.3684210526316,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,95.076,95.2773333333333,95.5,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,215.22962119644,217.618112192093,219.97857586421,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,66.400044290546,67.5848002899018,68.7886817522951,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,94.8787704053443,96.8834125269978,98.8734692852479,..,..
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,306.763658301158,308.307046332046,309.881467181467,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,43.321889483066,44.9911229946524,46.6657397504456,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,30.2689210950081,30.3055900621118,30.4112491373361,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Eswatini,SWZ,64.766511627907,65.3926162790698,66.0576162790698,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,103.603501,106.400024,109.224559,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Faroe Islands,FRO,34.5078781474256,34.6210586582365,34.7399698278226,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,47.7503557744937,48.0273125342091,48.3570333880679,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,18.0820078312658,18.1244908031983,18.1485472672831,..,..
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,121.857824759823,122.114008137994,122.299437237519,..,..
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,75.0204918032787,75.4379781420765,75.8685792349727,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,7.79242053789731,8.01343967089688,8.22476423332169,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,212.365513833992,218.764229249012,225.30652173913,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,65.2140557752196,65.2227859617201,65.197330207495,65.0477623429791,..
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,235.712929356538,236.595494618731,237.30759674834,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,125.173358530368,127.983963259207,130.821429199262,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Gibraltar,GIB,3373.7,3372.8,3371.8,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,83.5994647013189,83.4342823894492,83.2651823118697,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.136888780606651,0.136854671701791,0.136491655500061,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,324.297058823529,326.1,327.805882352941,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,301.761111111111,304.224074074074,306.977777777778,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,147.701474430758,150.125214632325,152.547125793206,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,47.7716140322318,49.1109352108091,50.5222122741332,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,63.3868065433855,65.0123044096728,66.6539473684211,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,3.91854711709423,3.93813055626111,3.95734823469647,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,393.322568940493,398.489332365747,403.59854862119,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,82.8563321118956,84.2703816248101,85.6870319063366,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,6987.2380952381,7039.71428571429,7096.19047619048,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,108.406307301447,108.118480061858,107.981486799956,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,3.34602493765586,3.42543640897756,3.51841396508728,..,..
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,445.484341397623,450.243285831043,454.938072575247,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,144.379861666952,146.086480787383,147.75219008926,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,48.8494412927626,49.5309014219406,50.222420123284,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,84.3314214728393,86.5016316022141,88.5305700354617,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,69.027943097692,69.7835389751778,70.6534475250399,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMN,146.117543859649,146.663157894737,147.50350877193,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,394.916820702403,402.647874306839,410.480591497227,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,206.117828245053,205.809169103148,205.418372203713,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,268.350692520776,269.700184672207,270.993074792244,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,348.350096006144,347.777586679833,347.073458415624,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,107.585796350529,110.150630772697,112.14249831043,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.59112308775049,6.68140015557284,6.76982572137645,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,86.1856239238149,88.2409828864603,90.2994166637383,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,138.918518518519,140.935802469136,143.020987654321,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. People’s Rep.",PRK,210.17975251225,211.194958890458,212.190175234615,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,525.370051470148,526.848248951154,529.358501289308,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,XKX,163.27335354092,164.508404519151,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,222.046857463524,227.614983164983,232.172390572391,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,31.6970802919708,32.3159541188738,32.9655891553702,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,29.6613778162912,30.125801559792,30.5957842287695,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,31.5139433901576,31.2358957864265,30.9934705693149,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,656.023558162268,665.872238514174,669.494134897361,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,68.3465415019763,68.8870882740448,69.437812911726,..,..
